"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","Assassinate","tsr","Near Mint","English","foil","","2025-01-02 01:14:24.823000","101","False","False",""
"1","1","Assemble the Entmoot","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","36","False","False",""
"1","1","Attended Healer","znr","Near Mint","English","foil","","2024-12-30 20:13:47.303000","6","False","False",""
"1","1","Atzocan Seer","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","265","False","False",""
"1","1","Austere Command","plst","Near Mint","English","","","2025-01-02 03:35:14.457000","LRW-3","False","False",""
"1","1","Austere Command","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","69","False","False",""
"1","1","Austere Command","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","687","False","False",""
"10","10","Avalanche Caller","khm","Near Mint","English","foil","","2025-01-02 00:10:35.023000","45","False","False",""
"1","1","Aven Mindcensor","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","688","False","False",""
"1","1","Aven Riftwatcher","tsr","Near Mint","English","foil","","2024-12-30 20:13:51.673000","6","False","False",""
"4","4","Aven Surveyor","cmr","Near Mint","English","foil","","2025-01-02 00:23:46.493000","57","False","False",""
"1","1","Avenging Arrow","rtr","Near Mint","English","foil","","2024-12-30 20:13:57.017000","4","False","False",""
"1","1","Azorius Arrester","rtr","Near Mint","English","foil","","2024-12-30 20:14:02.027000","5","False","False",""
"1","1","Azorius Chancery","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","175","False","False",""
"1","1","Azorius Cluestone","dgm","Near Mint","English","foil","","2025-01-02 01:59:52.137000","136","False","False",""
"1","1","Azorius Signet","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","133","False","False",""
"1","1","Baba Lysaga, Night Witch","clb","Near Mint","English","foil","","2024-12-31 08:55:14.623000","266","False","False",""
"1","1","Back to Nature","m11","Near Mint","English","","","2024-12-31 08:15:31.800000","164","False","False",""
"1","1","Bake into a Pie","eld","Near Mint","English","foil","","2025-01-02 01:15:29.560000","76","False","False",""
"1","1","Bakersbane Duo","blb","Near Mint","English","","","2024-12-31 05:48:22.293000","163","False","False",""
"1","1","Baleful Strix","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","120","False","False",""
"1","1","Bane of Bala Ged","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","802","False","False",""
"1","1","Banishing Light","ltc","Near Mint","English","","","2025-01-02 03:15:14.220000","161","False","False",""
"2","2","Banishing Light","blb","Near Mint","English","","","2024-12-31 05:46:06.727000","1","False","False",""
"1","1","Banquet Guests","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","47","False","False",""
"1","1","Barad-dûr","ltr","Near Mint","English","","","2024-12-31 08:02:48.387000","340","False","False",""
"1","1","Barge In","eld","Near Mint","English","foil","","2025-01-01 20:21:16.143000","112","False","False",""
"1","1","Barkform Harvester","blb","Near Mint","English","","","2024-12-31 06:23:43.603000","243","False","False",""
"1","1","Bartolomé del Presidio","lci","Near Mint","English","foil","","2024-12-31 08:20:22.300000","301","False","False",""
"1","1","Basalt Gargoyle","tsr","Near Mint","English","foil","","2025-01-01 23:35:42.770000","153","False","False",""
"1","1","Basalt Monolith","ltc","Near Mint","English","","","2025-01-02 03:16:17.650000","274","False","False",""
"3","3","Basalt Ravager","khm","Near Mint","English","foil","","2025-01-01 23:43:29.770000","122","False","False",""
"1","1","Basri's Solidarity","m21","Near Mint","English","foil","","2024-12-30 20:14:05.793000","10","False","False",""
"1","1","Bastion Protector","ltc","Near Mint","English","","","2025-01-02 03:15:14.220000","162","False","False",""
"6","6","Battershield Warrior","khm","Near Mint","English","","","2024-12-30 20:15:58.193000","2","False","False",""
"1","1","Battlefield Forge","ltc","Near Mint","English","","","2025-01-02 03:15:14.220000","296","False","False",""
"1","1","Battlefield Promotion","war","Near Mint","English","foil","","2024-12-30 20:14:53.510000","5","False","False",""
"1","1","Battle-Rattle Shaman","2xm","Near Mint","English","foil","","2025-01-01 23:41:06.747000","116","False","False",""
"1","1","Beacon of Tomorrows","sld","Near Mint","English","foil","","2024-12-31 05:42:31.660000","1497★","False","False",""
"1","1","Beast Within","ltc","Near Mint","English","","","2025-01-02 03:16:37.853000","234","False","False",""
"1","1","Bellowing Aegisaur","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","127","False","False",""
"1","1","Bellowing Crier","blb","Near Mint","English","","","2024-12-31 05:54:44.487000","42","False","False",""
"1","1","Bellowing Crier","blb","Near Mint","English","foil","","2024-12-31 05:54:59.297000","42","False","False",""
"1","1","Beloved Princess","eld","Near Mint","English","foil","","2024-12-30 20:16:17.380000","7","False","False",""
"2","2","Benalish Cavalry","tsr","Near Mint","English","foil","","2024-12-30 20:16:23.383000","7","False","False",""
"1","1","Benevolent Blessing","cmr","Near Mint","English","foil","","2024-12-30 20:16:39.777000","13","False","False",""
"1","1","Beregond of the Guard","ltc","Near Mint","English","","","2025-01-02 03:15:14.220000","9","False","False",""
"1","1","Beskir Shieldmate","khm","Near Mint","English","foil","","2024-12-30 20:16:44.390000","4","False","False",""
"1","1","Bestial Menace","mic","Near Mint","English","","","2024-12-31 08:15:12.570000","134","False","False",""
"1","1","Bident of Thassa","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","80","False","False",""
"1","1","Bilbo, Birthday Celebrant","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","48","False","False",""
"1","1","Bill the Pony","ltr","Near Mint","English","","","2024-12-31 07:42:37.157000","3","False","False",""
"1","1","Birds of Paradise","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","235","False","False",""
"4","4","Bishop of Wings","m20","Near Mint","English","","","2024-12-30 20:41:02.270000","8","False","False",""
"1","1","Bishop of Wings","plst","Near Mint","English","","","2025-01-02 03:35:14.457000","M20-8","False","False",""
"1","1","Bitter Downfall","ltr","Near Mint","English","","","2025-01-02 03:16:17.650000","77","False","False",""
"5","5","Bitter Revelation","cmr","Near Mint","English","foil","","2025-01-02 01:17:20.133000","109","False","False",""
"1","1","Black Market Connections","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","669","False","False",""
"1","1","Blackbloom Rogue // Blackbloom Bog","znr","Near Mint","English","foil","","2025-01-02 01:07:14.930000","91","False","False",""
"2","2","Blacksmith's Talent","blb","Near Mint","English","","","2024-12-31 06:02:37.343000","125","False","False",""
"2","2","Blade of the Sixth Pride","tsr","Near Mint","English","foil","","2024-12-30 20:16:49.860000","9","False","False",""
"1","1","Bladebrand","cmr","Near Mint","English","foil","","2025-01-02 01:01:54.493000","110","False","False",""
"1","1","Blasphemous Act","ltc","Near Mint","English","","","2025-01-02 03:16:17.650000","211","False","False",""
"1","1","Blast Zone","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","987","False","False",""
"1","1","Blinding Mage","ima","Near Mint","English","foil","","2024-12-30 20:16:54.157000","13","False","False",""
"2","2","Blood Aspirant","thb","Near Mint","English","foil","","2025-01-01 23:22:10.137000","128","False","False",""
"1","1","Blood Researcher","stx","Near Mint","English","foil","","2025-01-02 01:43:13.450000","166","False","False",""
"5","5","Bloodsky Berserker","khm","Near Mint","English","foil","","2025-01-02 00:57:11.540000","80","False","False",""
"1","1","Bloodsoaked Champion","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","740","False","False",""
"1","1","Blooming Blast","blb","Near Mint","English","","","2024-12-31 06:05:14.067000","126","False","False",""
"4","4","Blossoming Sands","frf","Near Mint","English","","","2024-12-30 19:37:20.200000","166","False","False",""
"2","2","Boarding Party","cmr","Near Mint","English","foil","","2025-01-01 23:49:35.993000","163","False","False",""
"1","1","Bojuka Bog","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","176","False","False",""
"1","1","Bojuka Bog","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","882","False","False",""
"1","1","Bombadil's Song","ltr","Near Mint","English","foil","","2024-12-31 07:57:34.007000","154","False","False",""
"1","1","Bombadil's Song","ltr","Near Mint","English","","","2024-12-31 07:55:50.533000","154","False","False",""
"1","1","Bombard","rix","Near Mint","English","foil","","2025-01-01 20:19:21.930000","93","False","False",""
"1","1","Bonded Fetch","tsr","Near Mint","English","foil","","2025-01-02 00:20:53.553000","54","False","False",""
"1","1","Bonders' Enclave","plst","Near Mint","English","","","2025-01-02 03:35:14.457000","IKO-245","False","False",""
"1","1","Bonders' Enclave","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","988","False","False",""
"2","2","Bone Picker","2xm","Near Mint","English","foil","","2025-01-02 01:19:27.347000","78","False","False",""
"2","2","Bonebind Orator","blb","Near Mint","English","","","2024-12-30 21:58:02.023000","84","False","False",""
"1","1","Boon of the Wish-Giver","ltc","Near Mint","English","","","2025-01-02 03:16:17.650000","185","False","False",""
"1","1","Boromir, Gondor's Hope","ltc","Near Mint","English","","","2025-01-02 03:15:14.220000","49","False","False",""
"4","4","Boros Cluestone","dgm","Near Mint","English","","","2024-12-30 19:50:15.140000","137","False","False",""
"1","1","Boros Cluestone","dgm","Near Mint","English","foil","","2025-01-02 02:00:12.597000","137","False","False",""
"1","1","Boros Garrison","gk1","Near Mint","English","","","2024-12-30 19:44:49.457000","98","False","False",""
"1","1","Boros Guildgate","grn","Near Mint","English","","","2024-12-30 19:40:17.060000","243","False","False",""
"1","1","Boros Guildgate","grn","Near Mint","English","","","2024-12-30 19:40:51.887000","244","False","False",""
"2","2","Boros Guildgate","gtc","Near Mint","English","","","2024-12-30 19:40:05.077000","239","False","False",""
"2","2","Boros Keyrune","gtc","Near Mint","English","","","2024-12-30 19:51:21.880000","227","False","False",""
"2","2","Boros Locket","grn","Near Mint","English","","","2024-12-30 19:52:06.103000","231","False","False",""
"3","3","Boros Signet","cmd","Near Mint","English","","","2024-12-30 19:50:45.213000","243","False","False",""
"2","2","Bound in Silence","tsr","Near Mint","English","foil","","2024-12-30 20:17:03.443000","10","False","False",""
"1","1","Brave the Elements","zen","Near Mint","English","","","2024-12-30 19:21:42.273000","4","False","False",""
"1","1","Brazen Collector","blb","Near Mint","English","","","2024-12-30 20:59:49.297000","128","False","False",""
"7","7","Brazen Freebooter","cmr","Near Mint","English","foil","","2025-01-01 23:39:13.620000","164","False","False",""
"1","1","Breaker of Creation","mh3","Near Mint","English","","","2024-12-31 08:24:48.363000","1","False","False",""
"1","1","Breathkeeper Seraph","sld","Near Mint","English","foil","","2025-01-02 03:35:14.457000","1345","False","False",""
"1","1","Breeches, Eager Pillager","lci","Near Mint","English","","","2024-12-31 08:20:43.280000","294","False","False",""
"1","1","Briarblade Adept","cmr","Near Mint","English","foil","","2025-01-02 01:26:03.253000","111","False","False",""
"1","1","Brisela, Voice of Nightmares","sld","Near Mint","English","foil","","2025-01-02 03:35:14.457000","1336b","False","False",""
"1","1","Brokkos, Apex of Forever","iko","Near Mint","English","","","2025-01-01 20:35:26.610000","299","False","False",""
"1","1","Bronze Guardian","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","70","False","False",""
"1","1","Bronzebeak Foragers","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","69","False","False",""
"1","1","Bruna, the Fading Light","sld","Near Mint","English","","","2025-01-01 20:29:40.293000","1388","False","False",""
"1","1","Bruna, the Fading Light","sld","Near Mint","English","foil","","2025-01-02 03:35:14.457000","1336","False","False",""
"1","1","Brushland","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","297","False","False",""
"1","1","Bumbleflower's Sharepot","blb","Near Mint","English","","","2024-12-31 06:23:19.240000","244","False","False",""
"1","1","Burakos, Party Leader","clb","Near Mint","English","foil","","2025-01-02 03:35:54.547000","653","False","False",""
"1","1","Burning Anger","cmr","Near Mint","English","foil","","2025-01-01 20:21:49.110000","166","False","False",""
"1","1","Burnished Hart","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","373","False","False",""
"1","1","Bushy Bodyguard","tblb","Near Mint","English","","","2024-12-30 22:10:46.990000","20","False","False",""
"1","1","Butcher of Malakir","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","741","False","False",""
"1","1","Butterbur, Bree Innkeeper","ltr","Near Mint","English","","","2025-01-02 03:17:40.530000","197","False","False",""
"1","1","Bygone Bishop","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","689","False","False",""
"1","1","Cache Grab","blb","Near Mint","English","","","2024-12-30 22:00:00.250000","167","False","False",""
"1","1","Cage of Hands","cmr","Near Mint","English","foil","","2024-12-30 20:17:07.380000","14","False","False",""
"1","1","Calamitous Tide","blb","Near Mint","English","","","2024-12-31 06:02:09.033000","43","False","False",""
"1","1","Calamity of the Titans","cmm","Near Mint","English","","","2025-01-02 03:18:57.677000","713","False","False",""
"2","2","Calciderm","tsr","Near Mint","English","foil","","2024-12-30 20:17:10.463000","11","False","False",""
"1","1","Calculating Lich","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","742","False","False",""
"1","1","Call for Aid","ltc","Near Mint","English","","","2025-01-02 03:15:14.220000","30","False","False",""
"1","1","Call for Unity","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","163","False","False",""
"1","1","Callaphe, Beloved of the Sea","thb","Near Mint","English","foil","","2025-01-02 00:14:57.330000","45","False","False",""
"11","11","Callaphe, Beloved of the Sea","thb","Near Mint","English","foil","","2025-01-02 00:15:27.973000","260","False","False",""
"1","1","Campus Guide","stx","Near Mint","English","foil","","2025-01-02 01:55:25.003000","252","False","False",""
"1","1","Candlekeep Sage","clb","Near Mint","English","etched","","2024-12-31 08:41:58.983000","482","False","False",""
"1","1","Canopy Vista","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","298","False","False",""
"1","1","Canopy Vista","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","321","False","False",""
"1","1","Captain's Call","m13","Near Mint","English","foil","","2024-12-30 20:17:35.270000","9","False","False",""
"1","1","Captain's Call","cmr","Near Mint","English","foil","","2024-12-30 20:17:27.217000","15","False","False",""
"1","1","Caretaker's Talent","blb","Near Mint","English","","","2024-12-30 20:57:10.123000","6","False","False",""
"3","3","Carrot Cake","blb","Near Mint","English","","","2024-12-30 20:57:03.820000","7","False","False",""
"1","1","Cast Down","clb","Near Mint","English","foil","","2024-12-31 08:51:29.760000","119","False","False",""
"1","1","Castle Locthwain","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","884","False","False",""
"1","1","Castle Raptors","tsr","Near Mint","English","foil","","2024-12-30 20:17:46.890000","12","False","False",""
"1","1","Cathodion","2xm","Near Mint","English","foil","","2025-01-02 02:00:27.133000","237","False","False",""
"1","1","Cavern Lampad","ths","Near Mint","English","foil","","2025-01-02 01:21:46.187000","81","False","False",""
"1","1","Cavern-Hoard Dragon","ltc","Near Mint","English","","","2025-01-02 03:16:17.650000","31","False","False",""
"1","1","Celeborn the Wise","ltr","Near Mint","English","","","2025-01-02 03:16:37.853000","156","False","False",""
"1","1","Celestial Purge","m11","Near Mint","English","","","2024-12-30 19:22:44.240000","9","False","False",""
"2","2","Champion of the Flame","cmr","Near Mint","English","foil","","2025-01-01 23:28:23.373000","167","False","False",""
"1","1","Champions of Minas Tirith","ltc","Near Mint","English","","","2025-01-02 03:15:14.220000","10","False","False",""
"1","1","Chance-Met Elves","ltr","Near Mint","English","","","2024-12-31 07:58:21.900000","157","False","False",""
"1","1","Chandra, Heart of Fire","m21","Near Mint","English","","","2025-01-01 20:08:34.153000","135","False","False",""
"1","1","Chandra's Ignition","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","220","False","False",""
"1","1","Chandra's Magmutt","m21","Near Mint","English","foil","","2025-01-01 20:16:18.337000","137","False","False",""
"1","1","Changeling Outcast","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","743","False","False",""
"1","1","Chief of the Foundry","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","134","False","False",""
"1","1","Choked Estuary","ltc","Near Mint","English","","","2025-01-02 03:16:17.650000","299","False","False",""
"1","1","Chromatic Lantern","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","275","False","False",""
"1","1","Chrome Courier","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","123","False","False",""
"1","1","Cinder Glade","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","323","False","False",""
"1","1","Círdan the Shipwright","ltc","Near Mint","English","","","2025-01-02 03:16:37.853000","50","False","False",""
"1","1","Cleansing Nova","plst","Near Mint","English","","","2025-01-02 03:35:14.457000","C21-86","False","False",""
"4","4","Cleric Class","afr","Near Mint","English","","","2024-12-30 19:24:42.823000","6","False","False",""
"1","1","Clifftop Retreat","ltc","Near Mint","English","","","2025-01-02 03:15:14.220000","300","False","False",""
"1","1","Clifftop Retreat","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","324","False","False",""
"1","1","Clockwork Hydra","tsr","Near Mint","English","foil","","2025-01-02 02:03:50.097000","264","False","False",""
"4","4","Cloudshift","avr","Near Mint","English","","","2024-12-30 18:31:41.647000","12","False","False",""
"1","1","Coal Stoker","tsr","Near Mint","English","foil","","2025-01-01 23:42:07.597000","159","False","False",""
"2","2","Coastline Marauders","cmr","Near Mint","English","foil","","2025-01-01 23:34:33.790000","168","False","False",""
"1","1","Cogwork Archivist","stx","Near Mint","English","foil","","2025-01-02 02:05:05.743000","254","False","False",""
"1","1","Collar the Culprit","grn","Near Mint","English","foil","","2024-12-30 20:17:54.287000","5","False","False",""
"1","1","Colossal Plow","khm","Near Mint","English","foil","","2025-01-02 01:53:24.073000","236","False","False",""
"1","1","Colossal Whale","ltc","Near Mint","English","","","2025-01-02 03:16:37.853000","186","False","False",""
"1","1","Combat Celebrant","ltc","Near Mint","English","","","2025-01-02 03:15:14.220000","212","False","False",""
"1","1","Command Tower","clb","Near Mint","English","","","2025-01-02 03:35:54.547000","351","False","False",""
"1","1","Command Tower","lcc","Near Mint","English","","","2025-01-02 03:20:11.470000","325","False","False",""
"1","1","Command Tower","sld","Near Mint","English","foil","","2024-12-31 05:34:56.177000","1496★","False","False",""
"1","1","Command Tower","brc","Near Mint","English","","","2025-01-02 03:34:38.403000","178","False","False",""
"4","4","Command Tower","ltc","Near Mint","English","","","2025-01-02 03:17:40.530000","301","False","False",""
"1","1","Commander's Plate","sld","Near Mint","English","foil","","2025-01-02 03:35:14.457000","1339","False","False",""
